Block,Village,location,Latitude,Longitude,RL_(m),Hyd_Formation,Wl_post_202_m_bbgl,WL_pre_2021mbgl
Chaksu,Nimodiya,"Nimodiya, Chaksu, Rajasthan, India",26.64794,75.9905886,352.75,Older Alluvium,5.25,7.25
Dudu,Dudu,"Dudu, Dudu, Rajasthan, India",26.6832448,75.2335695,353,Gneiss,2.88,6.8
Kotputli,Sangtera,"Sangtera, Kotputli, Rajasthan, India",27.7637129,76.21025,353,Al/ Quartzite,43,42.4
Phagi,Ratanpura,"Ratanpura, Phagi, Rajasthan, India",26.5237666,75.5909816,353.06,Mica Schist,2.7,6.35
Dudu,PALLUKHURD,"PALLUKHURD, Dudu, Rajasthan, India",26.6832448,75.2335695,354,Gneiss,9.95,10.6
Sanganer,Bagru,"Bagru, Sanganer, Rajasthan, India",26.8078123,75.5401734,355.96,Older Alluvium,39.68,39.8
Kotputli,Sunderpura,"Sunderpura, Kotputli, Rajasthan, India",27.70291,76.1606,357,"Younger
Alluvium",39.4,39.4
Sanganer,Pawanliya,"Pawanliya, Sanganer, Rajasthan, India",26.7402848,75.6848074,357.96,Mica Schist,42.4,50.7
Kotputli,Rajnota,"Rajnota, Kotputli, Rajasthan, India",27.5681517,76.1522879,358,"Younger
Alluvium",39.2,39
Dudu,Dudu,"Dudu, Dudu, Rajasthan, India",26.6832448,75.2335695,358.16,Gneiss,3.2,6
Dudu,Sawarda,"Sawarda, Dudu, Rajasthan, India",26.6832448,75.2335695,359,Gneiss,8.55,10.15
Dudu,Sawarda,"Sawarda, Dudu, Rajasthan, India",26.6832448,75.2335695,359.13,Gneiss,7.6,10.3
Kotputli,Banethi,"Banethi, Kotputli, Rajasthan, India",27.7953524,76.1018801,360,Quartzite,93.2,93.2
Dudu,Dhandoli,"Dhandoli, Dudu, Rajasthan, India",26.6832448,75.2335695,360,Gneiss,3.25,3.15
Kotputli,Kansli,"Kansli, Kotputli, Rajasthan, India",27.6891701,76.1374311,360,Limestone,52.9,52.9
Kotputli,Kansli,"Kansli, Kotputli, Rajasthan, India",27.6891701,76.1374311,361,"Younger
Alluvium",50.05,52.9
Kotputli,Sarundh,"Sarundh, Kotputli, Rajasthan, India",27.7210061,76.1290961,363,"Younger
Alluvium",65.1,67.1
Sanganer,DahmiKallan,"DahmiKallan, Sanganer, Rajasthan, India",26.8191641,75.7659513,364,Older Alluvium,53.9,51.7
Sanganer,MOHANA,"MOHANA, Sanganer, Rajasthan, India",26.8191641,75.7659513,366,Older Alluvium,53.9,49.3
Kotputli,Narehada,"Narehada, Kotputli, Rajasthan, India",27.7054216,76.1942048,368.4,Quartzite,47.46,49.9
Bassi,Mohanpura,"Mohanpura, Bassi, Rajasthan, India",26.8597091,76.0812507,368.69,Older Alluvium,59.1,59.5
Dudu,Bandh Ka Balaji,"Bandh Ka Balaji, Dudu, Rajasthan, India",26.6738002,75.2218266,370,Mica Schist,41.1,43.2
Kotputli,Sarund,"Sarund, Kotputli, Rajasthan, India",27.7210061,76.1290961,370,Quartzite Schist,65.2,69
Sanganer,Muhana,"Muhana, Sanganer, Rajasthan, India",26.7911703,75.7313342,372.82,Older Alluvium,53.6,53.6
